,STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Transgender.upto.14.years,Transgender.15.29.years,Transgender.30.44.years,Transgender.45.59.years,Transgender.60.years.and.above,Total.Transgender,Grand.Total
5193,D & N HAVELI,2008,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5738,D & N HAVELI,2008,8,LOVE AFFAIRS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6284,D & N HAVELI,2008,8,MARITAL ISSUES,0,0,0,0,0,0,0,5,1,2,0,8,0,0,0,0,0,0,8
6830,D & N HAVELI,2008,8,MENTAL HEALTH,0,2,4,5,0,11,0,2,0,0,0,2,0,0,0,0,0,0,13
7376,D & N HAVELI,2008,8,OTHERS,0,3,1,1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,6
7960,D & N HAVELI,2008,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8467,D & N HAVELI,2008,8,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,D & N HAVELI,2009,8,CAUSES NOT KNOWN,0,2,1,1,1,5,0,1,0,0,1,2,0,0,0,0,0,0,7
866,D & N HAVELI,2009,8,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,D & N HAVELI,2009,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,D & N HAVELI,2009,8,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,D & N HAVELI,2009,8,ECONOMIC ISSUES,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
3050,D & N HAVELI,2009,8,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596,D & N HAVELI,2009,8,FAMILY PROBLEMS,0,3,1,0,0,4,0,5,0,0,3,8,0,0,0,0,0,0,12
4142,D & N HAVELI,2009,8,HEALTH ISSUES,0,0,2,0,1,3,0,0,0,0,2,2,0,0,0,0,0,0,5
4687,D & N HAVELI,2009,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5232,D & N HAVELI,2009,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5777,D & N HAVELI,2009,8,LOVE AFFAIRS,0,4,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,7
6323,D & N HAVELI,2009,8,MARITAL ISSUES,0,1,1,1,0,3,0,3,3,0,0,6,0,0,0,0,0,0,9
6869,D & N HAVELI,2009,8,MENTAL HEALTH,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3
7415,D & N HAVELI,2009,8,OTHERS,0,0,2,4,0,6,0,2,0,1,1,4,0,0,0,0,0,0,10
7999,D & N HAVELI,2009,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8506,D & N HAVELI,2009,8,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,D & N HAVELI,2010,8,CAUSES NOT KNOWN,0,0,3,0,1,4,0,3,2,2,0,7,0,0,0,0,0,0,11
905,D & N HAVELI,2010,8,DEATH OF DEAR PERSON,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
1451,D & N HAVELI,2010,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,D & N HAVELI,2010,8,DRUG ABUSE,0,0,2,3,0,5,0,0,0,1,0,1,0,0,0,0,0,0,6
2543,D & N HAVELI,2010,8,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3089,D & N HAVELI,2010,8,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635,D & N HAVELI,2010,8,FAMILY PROBLEMS,0,2,4,1,0,7,0,7,0,0,0,7,0,0,0,0,0,0,14
4181,D & N HAVELI,2010,8,HEALTH ISSUES,0,1,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,4
4726,D & N HAVELI,2010,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5271,D & N HAVELI,2010,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5816,D & N HAVELI,2010,8,LOVE AFFAIRS,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3
6362,D & N HAVELI,2010,8,MARITAL ISSUES,0,1,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,4
6908,D & N HAVELI,2010,8,MENTAL HEALTH,0,4,2,2,2,10,0,0,2,0,0,2,0,0,0,0,0,0,12
7454,D & N HAVELI,2010,8,OTHERS,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,4
8038,D & N HAVELI,2010,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8545,D & N HAVELI,2010,8,SOCIETAL ISSUES,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
398,D & N HAVELI,2011,8,CAUSES NOT KNOWN,0,6,1,1,0,8,0,1,0,0,0,1,0,0,0,0,0,0,9
944,D & N HAVELI,2011,8,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1490,D & N HAVELI,2011,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,D & N HAVELI,2011,8,DRUG ABUSE,0,1,2,3,1,7,0,0,2,2,0,4,0,0,0,0,0,0,11
2582,D & N HAVELI,2011,8,ECONOMIC ISSUES,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3128,D & N HAVELI,2011,8,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3674,D & N HAVELI,2011,8,FAMILY PROBLEMS,0,3,1,2,0,6,0,2,2,0,0,4,0,0,0,0,0,0,10
4220,D & N HAVELI,2011,8,HEALTH ISSUES,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
4765,D & N HAVELI,2011,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5310,D & N HAVELI,2011,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5855,D & N HAVELI,2011,8,LOVE AFFAIRS,0,4,1,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,8
6401,D & N HAVELI,2011,8,MARITAL ISSUES,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3
6947,D & N HAVELI,2011,8,MENTAL HEALTH,0,1,1,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,4
7493,D & N HAVELI,2011,8,OTHERS,0,3,1,2,0,6,0,4,1,1,0,6,0,0,0,0,0,0,12
8077,D & N HAVELI,2011,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8584,D & N HAVELI,2011,8,SOCIETAL ISSUES,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
437,D & N HAVELI,2012,8,CAUSES NOT KNOWN,0,1,5,1,0,7,0,6,2,0,0,8,0,0,0,0,0,0,15
983,D & N HAVELI,2012,8,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,D & N HAVELI,2012,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,D & N HAVELI,2012,8,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621,D & N HAVELI,2012,8,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3167,D & N HAVELI,2012,8,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3713,D & N HAVELI,2012,8,FAMILY PROBLEMS,0,6,5,2,0,13,0,4,0,1,1,6,0,0,0,0,0,0,19
4259,D & N HAVELI,2012,8,HEALTH ISSUES,0,2,2,2,2,8,0,2,0,1,2,5,0,0,0,0,0,0,13
4804,D & N HAVELI,2012,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5349,D & N HAVELI,2012,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5894,D & N HAVELI,2012,8,LOVE AFFAIRS,0,2,0,0,0,2,0,6,0,0,0,6,0,0,0,0,0,0,8
6440,D & N HAVELI,2012,8,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6986,D & N HAVELI,2012,8,MENTAL HEALTH,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
7532,D & N HAVELI,2012,8,OTHERS,0,3,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6
8116,D & N HAVELI,2012,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8623,D & N HAVELI,2012,8,SOCIETAL ISSUES,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
476,D & N HAVELI,2013,8,CAUSES NOT KNOWN,0,7,2,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12
1022,D & N HAVELI,2013,8,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,D & N HAVELI,2013,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,D & N HAVELI,2013,8,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2660,D & N HAVELI,2013,8,ECONOMIC ISSUES,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,3
3206,D & N HAVELI,2013,8,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3752,D & N HAVELI,2013,8,FAMILY PROBLEMS,0,1,4,9,2,16,0,3,0,1,0,4,0,0,0,0,0,0,20
4298,D & N HAVELI,2013,8,HEALTH ISSUES,0,3,3,1,0,7,0,1,0,0,3,4,0,0,0,0,0,0,11
4843,D & N HAVELI,2013,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5388,D & N HAVELI,2013,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,D & N HAVELI,2013,8,LOVE AFFAIRS,0,2,1,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,7
6479,D & N HAVELI,2013,8,MARITAL ISSUES,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
7025,D & N HAVELI,2013,8,MENTAL HEALTH,0,8,0,0,0,8,0,0,2,0,3,5,0,0,0,0,0,0,13
7571,D & N HAVELI,2013,8,OTHERS,0,1,1,3,0,5,0,4,3,2,0,9,0,0,0,0,0,0,14
8155,D & N HAVELI,2013,8,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8662,D & N HAVELI,2013,8,SOCIETAL ISSUES,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
515,D & N HAVELI,2014,8,CAUSES NOT KNOWN,0,1,2,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,5
1061,D & N HAVELI,2014,8,DEATH OF DEAR PERSON,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
1607,D & N HAVELI,2014,8,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,D & N HAVELI,2014,8,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2699,D & N HAVELI,2014,8,ECONOMIC ISSUES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3245,D & N HAVELI,2014,8,EXAM FAILURE,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
3791,D & N HAVELI,2014,8,FAMILY PROBLEMS,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
4337,D & N HAVELI,2014,8,HEALTH ISSUES,0,4,2,2,0,8,0,4,0,0,0,4,0,0,0,0,0,0,12
4882,D & N HAVELI,2014,8,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5427,D & N HAVELI,2014,8,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5972,D & N HAVELI,2014,8,LOVE AFFAIRS,0,3,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,5
6518,D & N HAVELI,2014,8,MARITAL ISSUES,0,2,0,0,0,2,0,4,0,0,0,4,0,0,0,0,0,0,6
7064,D & N HAVELI,2014,8,MENTAL HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7610,D & N HAVELI,2014,8,OTHERS,0,11,7,7,4,29,0,14,2,1,2,19,0,0,0,0,0,0,48
7649,D & N HAVELI,2014,8,PHYSICAL ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8701,D & N HAVELI,2014,8,SOCIETAL ISSUES,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2
9,DAMAN & DIU,2001,9,CAUSES NOT KNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,DAMAN & DIU,2001,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,DAMAN & DIU,2001,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1647,DAMAN & DIU,2001,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2193,DAMAN & DIU,2001,9,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2739,DAMAN & DIU,2001,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3285,DAMAN & DIU,2001,9,FAMILY PROBLEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3831,DAMAN & DIU,2001,9,HEALTH ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4377,DAMAN & DIU,2001,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4922,DAMAN & DIU,2001,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5467,DAMAN & DIU,2001,9,LOVE AFFAIRS,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
6012,DAMAN & DIU,2001,9,MARITAL ISSUES,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
6558,DAMAN & DIU,2001,9,MENTAL HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7104,DAMAN & DIU,2001,9,OTHERS,0,4,6,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,11
7689,DAMAN & DIU,2001,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8195,DAMAN & DIU,2001,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,DAMAN & DIU,2002,9,CAUSES NOT KNOWN,0,3,7,0,1,11,0,0,1,0,0,1,0,0,0,0,0,0,12
594,DAMAN & DIU,2002,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,DAMAN & DIU,2002,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,DAMAN & DIU,2002,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,DAMAN & DIU,2002,9,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2778,DAMAN & DIU,2002,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,DAMAN & DIU,2002,9,FAMILY PROBLEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,DAMAN & DIU,2002,9,HEALTH ISSUES,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
4416,DAMAN & DIU,2002,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4961,DAMAN & DIU,2002,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,DAMAN & DIU,2002,9,LOVE AFFAIRS,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
6051,DAMAN & DIU,2002,9,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6597,DAMAN & DIU,2002,9,MENTAL HEALTH,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7143,DAMAN & DIU,2002,9,OTHERS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7728,DAMAN & DIU,2002,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8234,DAMAN & DIU,2002,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,DAMAN & DIU,2003,9,CAUSES NOT KNOWN,0,6,4,2,0,12,0,1,1,1,0,3,0,0,0,0,0,0,15
633,DAMAN & DIU,2003,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,DAMAN & DIU,2003,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,DAMAN & DIU,2003,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,DAMAN & DIU,2003,9,ECONOMIC ISSUES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2817,DAMAN & DIU,2003,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3363,DAMAN & DIU,2003,9,FAMILY PROBLEMS,1,0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,4
3909,DAMAN & DIU,2003,9,HEALTH ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4455,DAMAN & DIU,2003,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,DAMAN & DIU,2003,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5545,DAMAN & DIU,2003,9,LOVE AFFAIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,DAMAN & DIU,2003,9,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6636,DAMAN & DIU,2003,9,MENTAL HEALTH,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2
7182,DAMAN & DIU,2003,9,OTHERS,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
7767,DAMAN & DIU,2003,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8273,DAMAN & DIU,2003,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,DAMAN & DIU,2004,9,CAUSES NOT KNOWN,0,0,3,1,0,4,0,4,0,0,0,4,0,0,0,0,0,0,8
672,DAMAN & DIU,2004,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,DAMAN & DIU,2004,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,DAMAN & DIU,2004,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,DAMAN & DIU,2004,9,ECONOMIC ISSUES,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2856,DAMAN & DIU,2004,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3402,DAMAN & DIU,2004,9,FAMILY PROBLEMS,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2
3948,DAMAN & DIU,2004,9,HEALTH ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4494,DAMAN & DIU,2004,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5039,DAMAN & DIU,2004,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5584,DAMAN & DIU,2004,9,LOVE AFFAIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6129,DAMAN & DIU,2004,9,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6675,DAMAN & DIU,2004,9,MENTAL HEALTH,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
7221,DAMAN & DIU,2004,9,OTHERS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7806,DAMAN & DIU,2004,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,DAMAN & DIU,2004,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,DAMAN & DIU,2005,9,CAUSES NOT KNOWN,0,5,1,0,0,6,0,4,1,0,0,5,0,0,0,0,0,0,11
711,DAMAN & DIU,2005,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,DAMAN & DIU,2005,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1803,DAMAN & DIU,2005,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,DAMAN & DIU,2005,9,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2895,DAMAN & DIU,2005,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3441,DAMAN & DIU,2005,9,FAMILY PROBLEMS,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,3
3987,DAMAN & DIU,2005,9,HEALTH ISSUES,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
4533,DAMAN & DIU,2005,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5078,DAMAN & DIU,2005,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5623,DAMAN & DIU,2005,9,LOVE AFFAIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6168,DAMAN & DIU,2005,9,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6714,DAMAN & DIU,2005,9,MENTAL HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7260,DAMAN & DIU,2005,9,OTHERS,1,5,2,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12
7845,DAMAN & DIU,2005,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8351,DAMAN & DIU,2005,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,DAMAN & DIU,2006,9,CAUSES NOT KNOWN,0,5,4,0,0,9,2,4,1,0,0,7,0,0,0,0,0,0,16
750,DAMAN & DIU,2006,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,DAMAN & DIU,2006,9,DOWRY DISPUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,DAMAN & DIU,2006,9,DRUG ABUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,DAMAN & DIU,2006,9,ECONOMIC ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,DAMAN & DIU,2006,9,EXAM FAILURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,DAMAN & DIU,2006,9,FAMILY PROBLEMS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4026,DAMAN & DIU,2006,9,HEALTH ISSUES,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
4572,DAMAN & DIU,2006,9,HERO WORSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5117,DAMAN & DIU,2006,9,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662,DAMAN & DIU,2006,9,LOVE AFFAIRS,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
6207,DAMAN & DIU,2006,9,MARITAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6753,DAMAN & DIU,2006,9,MENTAL HEALTH,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7299,DAMAN & DIU,2006,9,OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7884,DAMAN & DIU,2006,9,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8390,DAMAN & DIU,2006,9,SOCIETAL ISSUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,DAMAN & DIU,2007,9,CAUSES NOT KNOWN,0,3,1,2,0,6,0,6,2,0,0,8,0,0,0,0,0,0,14
789,DAMAN & DIU,2007,9,DEATH OF DEAR PERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
