STATE.UT,id,Year,CAUSE,Male,Female,Total
DELHI (UT),10,2002,Matriculate/Secondary,166,101,267
DELHI (UT),10,2002,Hr. Secondary/Intermediate/Pre-University,68,25,93
DELHI (UT),10,2002,Diploma,8,0,8
DELHI (UT),10,2002,Graduate,20,5,25
DELHI (UT),10,2002,Post Graduate and Above,3,2,5
DELHI (UT),10,2003,No Education,103,86,189
DELHI (UT),10,2003,Primary,157,102,259
DELHI (UT),10,2003,Middle,189,89,278
DELHI (UT),10,2003,Matriculate/Secondary,153,93,246
DELHI (UT),10,2003,Hr. Secondary/Intermediate/Pre-University,112,26,138
DELHI (UT),10,2003,Diploma,5,4,9
DELHI (UT),10,2003,Graduate,21,12,33
DELHI (UT),10,2003,Post Graduate and Above,1,0,1
DELHI (UT),10,2004,No Education,120,83,203
DELHI (UT),10,2004,Primary,147,81,228
DELHI (UT),10,2004,Middle,239,122,361
DELHI (UT),10,2004,Matriculate/Secondary,196,129,325
DELHI (UT),10,2004,Hr. Secondary/Intermediate/Pre-University,68,31,99
DELHI (UT),10,2004,Diploma,5,3,8
DELHI (UT),10,2004,Graduate,21,6,27
DELHI (UT),10,2004,Post Graduate and Above,3,2,5
DELHI (UT),10,2005,No Education,155,130,285
DELHI (UT),10,2005,Primary,160,102,262
DELHI (UT),10,2005,Middle,156,94,250
DELHI (UT),10,2005,Matriculate/Secondary,200,96,296
DELHI (UT),10,2005,Hr. Secondary/Intermediate/Pre-University,77,31,108
DELHI (UT),10,2005,Diploma,3,2,5
DELHI (UT),10,2005,Graduate,23,12,35
DELHI (UT),10,2005,Post Graduate and Above,3,1,4
DELHI (UT),10,2006,No Education,166,119,285
DELHI (UT),10,2006,Primary,148,111,259
DELHI (UT),10,2006,Middle,251,134,385
DELHI (UT),10,2006,Matriculate/Secondary,190,102,292
DELHI (UT),10,2006,Hr. Secondary/Intermediate/Pre-University,120,43,163
DELHI (UT),10,2006,Diploma,47,6,53
DELHI (UT),10,2006,Graduate,35,15,50
DELHI (UT),10,2006,Post Graduate and Above,3,2,5
DELHI (UT),10,2007,No Education,145,124,269
DELHI (UT),10,2007,Primary,169,82,251
DELHI (UT),10,2007,Middle,245,117,362
DELHI (UT),10,2007,Matriculate/Secondary,228,119,347
DELHI (UT),10,2007,Hr. Secondary/Intermediate/Pre-University,138,52,190
DELHI (UT),10,2007,Diploma,7,5,12
DELHI (UT),10,2007,Graduate,34,14,48
DELHI (UT),10,2007,Post Graduate and Above,0,2,2
DELHI (UT),10,2008,No Education,97,88,185
DELHI (UT),10,2008,Primary,144,85,229
DELHI (UT),10,2008,Middle,187,114,301
DELHI (UT),10,2008,Matriculate/Secondary,205,134,339
DELHI (UT),10,2008,Hr. Secondary/Intermediate/Pre-University,113,68,181
DELHI (UT),10,2008,Diploma,6,4,10
DELHI (UT),10,2008,Graduate,35,13,48
DELHI (UT),10,2008,Post Graduate and Above,8,2,10
DELHI (UT),10,2009,No Education,140,112,252
DELHI (UT),10,2009,Primary,145,84,229
DELHI (UT),10,2009,Middle,222,141,363
DELHI (UT),10,2009,Matriculate/Secondary,267,124,391
DELHI (UT),10,2009,Hr. Secondary/Intermediate/Pre-University,100,65,165
DELHI (UT),10,2009,Diploma,9,3,12
DELHI (UT),10,2009,Graduate,35,15,50
DELHI (UT),10,2009,Post Graduate and Above,15,0,15
DELHI (UT),10,2010,No Education,136,98,234
DELHI (UT),10,2010,Primary,161,122,283
DELHI (UT),10,2010,Middle,214,145,359
DELHI (UT),10,2010,Matriculate/Secondary,240,117,357
DELHI (UT),10,2010,Hr. Secondary/Intermediate/Pre-University,142,69,211
DELHI (UT),10,2010,Diploma,10,3,13
DELHI (UT),10,2010,Graduate,38,25,63
DELHI (UT),10,2010,Post Graduate and Above,20,3,23
DELHI (UT),10,2011,No Education,121,72,193
DELHI (UT),10,2011,Primary,189,93,282
DELHI (UT),10,2011,Middle,262,129,391
DELHI (UT),10,2011,Matriculate/Secondary,348,148,496
DELHI (UT),10,2011,Hr. Secondary/Intermediate/Pre-University,178,84,262
DELHI (UT),10,2011,Diploma,13,5,18
DELHI (UT),10,2011,Graduate,56,16,72
DELHI (UT),10,2011,Post Graduate and Above,1,1,2
DELHI (UT),10,2012,No Education,177,78,255
DELHI (UT),10,2012,Primary,156,94,250
DELHI (UT),10,2012,Middle,277,156,433
DELHI (UT),10,2012,Matriculate/Secondary,342,195,537
DELHI (UT),10,2012,Hr. Secondary/Intermediate/Pre-University,211,95,306
DELHI (UT),10,2012,Diploma,4,2,6
DELHI (UT),10,2012,Graduate,69,31,100
DELHI (UT),10,2012,Post Graduate and Above,10,2,12
DELHI (UT),10,2013,No Education,186,81,267
DELHI (UT),10,2013,Primary,215,99,314
DELHI (UT),10,2013,Middle,309,123,432
DELHI (UT),10,2013,Matriculate/Secondary,365,171,536
DELHI (UT),10,2013,Hr. Secondary/Intermediate/Pre-University,259,128,387
DELHI (UT),10,2013,Diploma,13,5,18
DELHI (UT),10,2013,Graduate,63,32,95
DELHI (UT),10,2013,Post Graduate and Above,7,3,10
DELHI (UT),10,2014,No Education,168,111,279
DELHI (UT),10,2014,Primary,221,103,324
DELHI (UT),10,2014,Middle,149,73,222
DELHI (UT),10,2014,Matriculate/Secondary,310,122,432
DELHI (UT),10,2014,Hr. Secondary/Intermediate/Pre-University,179,76,255
DELHI (UT),10,2014,Diploma,25,14,39
DELHI (UT),10,2014,Graduate,49,17,66
DELHI (UT),10,2014,Post Graduate and Above,12,3,15
GOA,11,2001,No Education,55,19,74
GOA,11,2001,Primary,34,24,58
GOA,11,2001,Middle,49,27,76
GOA,11,2001,Matriculate/Secondary,24,18,42
GOA,11,2001,Hr. Secondary/Intermediate/Pre-University,5,1,6
GOA,11,2001,Diploma,0,0,0
GOA,11,2001,Graduate,0,0,0
GOA,11,2001,Post Graduate and Above,0,0,0
GOA,11,2002,No Education,46,14,60
GOA,11,2002,Primary,48,18,66
GOA,11,2002,Middle,76,25,101
GOA,11,2002,Matriculate/Secondary,45,18,63
GOA,11,2002,Hr. Secondary/Intermediate/Pre-University,5,6,11
GOA,11,2002,Diploma,1,1,2
GOA,11,2002,Graduate,3,1,4
GOA,11,2002,Post Graduate and Above,2,0,2
GOA,11,2003,No Education,44,18,62
GOA,11,2003,Primary,39,15,54
GOA,11,2003,Middle,55,30,85
GOA,11,2003,Matriculate/Secondary,57,15,72
GOA,11,2003,Hr. Secondary/Intermediate/Pre-University,12,5,17
GOA,11,2003,Diploma,1,0,1
GOA,11,2003,Graduate,3,3,6
GOA,11,2003,Post Graduate and Above,2,1,3
GOA,11,2004,No Education,51,19,70
GOA,11,2004,Primary,36,25,61
GOA,11,2004,Middle,46,26,72
GOA,11,2004,Matriculate/Secondary,51,21,72
GOA,11,2004,Hr. Secondary/Intermediate/Pre-University,22,8,30
GOA,11,2004,Diploma,0,0,0
GOA,11,2004,Graduate,4,2,6
GOA,11,2004,Post Graduate and Above,2,1,3
GOA,11,2005,No Education,42,15,57
GOA,11,2005,Primary,27,21,48
GOA,11,2005,Middle,48,20,68
GOA,11,2005,Matriculate/Secondary,43,14,57
GOA,11,2005,Hr. Secondary/Intermediate/Pre-University,24,9,33
GOA,11,2005,Diploma,1,0,1
GOA,11,2005,Graduate,8,6,14
GOA,11,2005,Post Graduate and Above,4,0,4
GOA,11,2006,No Education,30,23,53
GOA,11,2006,Primary,36,16,52
GOA,11,2006,Middle,66,26,92
GOA,11,2006,Matriculate/Secondary,37,15,52
GOA,11,2006,Hr. Secondary/Intermediate/Pre-University,11,10,21
GOA,11,2006,Diploma,0,0,0
GOA,11,2006,Graduate,3,2,5
GOA,11,2006,Post Graduate and Above,0,0,0
GOA,11,2007,No Education,41,15,56
GOA,11,2007,Primary,36,21,57
GOA,11,2007,Middle,44,25,69
GOA,11,2007,Matriculate/Secondary,29,22,51
GOA,11,2007,Hr. Secondary/Intermediate/Pre-University,21,5,26
GOA,11,2007,Diploma,1,0,1
GOA,11,2007,Graduate,5,4,9
GOA,11,2007,Post Graduate and Above,1,0,1
GOA,11,2008,No Education,35,12,47
GOA,11,2008,Primary,32,18,50
GOA,11,2008,Middle,49,35,84
GOA,11,2008,Matriculate/Secondary,36,20,56
GOA,11,2008,Hr. Secondary/Intermediate/Pre-University,22,16,38
GOA,11,2008,Diploma,1,1,2
GOA,11,2008,Graduate,1,2,3
GOA,11,2008,Post Graduate and Above,7,0,7
GOA,11,2009,No Education,33,20,53
GOA,11,2009,Primary,25,18,43
GOA,11,2009,Middle,46,26,72
GOA,11,2009,Matriculate/Secondary,45,16,61
GOA,11,2009,Hr. Secondary/Intermediate/Pre-University,23,10,33
GOA,11,2009,Diploma,4,0,4
GOA,11,2009,Graduate,2,2,4
GOA,11,2009,Post Graduate and Above,6,2,8
GOA,11,2010,No Education,40,18,58
GOA,11,2010,Primary,33,9,42
GOA,11,2010,Middle,63,24,87
GOA,11,2010,Matriculate/Secondary,59,26,85
GOA,11,2010,Hr. Secondary/Intermediate/Pre-University,24,7,31
GOA,11,2010,Diploma,1,0,1
GOA,11,2010,Graduate,8,2,10
GOA,11,2010,Post Graduate and Above,8,0,8
GOA,11,2011,No Education,20,12,32
GOA,11,2011,Primary,34,10,44
GOA,11,2011,Middle,69,36,105
GOA,11,2011,Matriculate/Secondary,52,28,80
GOA,11,2011,Hr. Secondary/Intermediate/Pre-University,16,8,24
GOA,11,2011,Diploma,0,0,0
GOA,11,2011,Graduate,4,3,7
GOA,11,2011,Post Graduate and Above,0,1,1
GOA,11,2012,No Education,21,8,29
GOA,11,2012,Primary,30,15,45
GOA,11,2012,Middle,46,22,68
GOA,11,2012,Matriculate/Secondary,45,22,67
GOA,11,2012,Hr. Secondary/Intermediate/Pre-University,37,24,61
GOA,11,2012,Diploma,1,1,2
GOA,11,2012,Graduate,15,1,16
GOA,11,2012,Post Graduate and Above,1,0,1
GOA,11,2013,No Education,21,15,36
GOA,11,2013,Primary,22,11,33
GOA,11,2013,Middle,64,35,99
GOA,11,2013,Matriculate/Secondary,66,27,93
GOA,11,2013,Hr. Secondary/Intermediate/Pre-University,51,9,60
GOA,11,2013,Diploma,0,0,0
GOA,11,2013,Graduate,5,1,6
GOA,11,2013,Post Graduate and Above,1,0,1
GOA,11,2014,No Education,3,7,10
GOA,11,2014,Primary,17,9,26
GOA,11,2014,Middle,48,27,75
GOA,11,2014,Matriculate/Secondary,58,25,83
GOA,11,2014,Hr. Secondary/Intermediate/Pre-University,26,10,36
GOA,11,2014,Diploma,5,0,5
GOA,11,2014,Graduate,8,4,12
GOA,11,2014,Post Graduate and Above,1,0,1
GUJARAT,12,2001,No Education,568,558,1126
GUJARAT,12,2001,Primary,862,845,1707
GUJARAT,12,2001,Middle,572,397,969
GUJARAT,12,2001,Matriculate/Secondary,477,276,753
GUJARAT,12,2001,Hr. Secondary/Intermediate/Pre-University,114,56,170
GUJARAT,12,2001,Diploma,13,2,15
GUJARAT,12,2001,Graduate,31,8,39
GUJARAT,12,2001,Post Graduate and Above,12,0,12
GUJARAT,12,2002,No Education,554,505,1059
GUJARAT,12,2002,Primary,974,820,1794
GUJARAT,12,2002,Middle,518,284,802
GUJARAT,12,2002,Matriculate/Secondary,461,233,694
GUJARAT,12,2002,Hr. Secondary/Intermediate/Pre-University,133,74,207
GUJARAT,12,2002,Diploma,22,1,23
GUJARAT,12,2002,Graduate,36,19,55
GUJARAT,12,2002,Post Graduate and Above,8,2,10
GUJARAT,12,2003,No Education,606,537,1143
GUJARAT,12,2003,Primary,988,728,1716
GUJARAT,12,2003,Middle,492,311,803
GUJARAT,12,2003,Matriculate/Secondary,392,220,612
GUJARAT,12,2003,Hr. Secondary/Intermediate/Pre-University,122,86,208
GUJARAT,12,2003,Diploma,11,6,17
GUJARAT,12,2003,Graduate,33,22,55
GUJARAT,12,2003,Post Graduate and Above,6,6,12
GUJARAT,12,2004,No Education,743,556,1299
GUJARAT,12,2004,Primary,975,824,1799
GUJARAT,12,2004,Middle,467,250,717
GUJARAT,12,2004,Matriculate/Secondary,464,211,675
GUJARAT,12,2004,Hr. Secondary/Intermediate/Pre-University,146,66,212
GUJARAT,12,2004,Diploma,12,4,16
GUJARAT,12,2004,Graduate,34,14,48
GUJARAT,12,2004,Post Graduate and Above,9,1,10
GUJARAT,12,2005,No Education,629,491,1120
GUJARAT,12,2005,Primary,1090,793,1883
GUJARAT,12,2005,Middle,520,267,787
GUJARAT,12,2005,Matriculate/Secondary,438,217,655
GUJARAT,12,2005,Hr. Secondary/Intermediate/Pre-University,149,70,219
GUJARAT,12,2005,Diploma,14,1,15
GUJARAT,12,2005,Graduate,35,14,49
GUJARAT,12,2005,Post Graduate and Above,27,10,37
GUJARAT,12,2006,No Education,694,559,1253
GUJARAT,12,2006,Primary,1138,796,1934
GUJARAT,12,2006,Middle,549,330,879
GUJARAT,12,2006,Matriculate/Secondary,461,228,689
GUJARAT,12,2006,Hr. Secondary/Intermediate/Pre-University,146,56,202
GUJARAT,12,2006,Diploma,11,2,13
GUJARAT,12,2006,Graduate,35,14,49
GUJARAT,12,2006,Post Graduate and Above,14,2,16
GUJARAT,12,2007,No Education,666,525,1191
GUJARAT,12,2007,Primary,1164,874,2038
GUJARAT,12,2007,Middle,640,408,1048
GUJARAT,12,2007,Matriculate/Secondary,604,283,887
GUJARAT,12,2007,Hr. Secondary/Intermediate/Pre-University,198,89,287
GUJARAT,12,2007,Diploma,16,8,24
GUJARAT,12,2007,Graduate,80,18,98
GUJARAT,12,2007,Post Graduate and Above,7,0,7
GUJARAT,12,2008,No Education,824,569,1393
GUJARAT,12,2008,Primary,1239,930,2169
GUJARAT,12,2008,Middle,742,455,1197
GUJARAT,12,2008,Matriculate/Secondary,617,353,970
GUJARAT,12,2008,Hr. Secondary/Intermediate/Pre-University,219,104,323
GUJARAT,12,2008,Diploma,13,3,16
GUJARAT,12,2008,Graduate,74,15,89
GUJARAT,12,2008,Post Graduate and Above,7,1,8
GUJARAT,12,2009,No Education,655,618,1273
GUJARAT,12,2009,Primary,1322,922,2244
GUJARAT,12,2009,Middle,744,474,1218
GUJARAT,12,2009,Matriculate/Secondary,643,331,974
GUJARAT,12,2009,Hr. Secondary/Intermediate/Pre-University,226,102,328
GUJARAT,12,2009,Diploma,15,13,28
GUJARAT,12,2009,Graduate,60,24,84
GUJARAT,12,2009,Post Graduate and Above,6,1,7
GUJARAT,12,2010,No Education,744,574,1318
GUJARAT,12,2010,Primary,1245,938,2183
GUJARAT,12,2010,Middle,775,473,1248
GUJARAT,12,2010,Matriculate/Secondary,639,290,929
GUJARAT,12,2010,Hr. Secondary/Intermediate/Pre-University,295,86,381
GUJARAT,12,2010,Diploma,21,3,24
GUJARAT,12,2010,Graduate,80,27,107
GUJARAT,12,2010,Post Graduate and Above,14,3,17
GUJARAT,12,2011,No Education,636,538,1174
GUJARAT,12,2011,Primary,1464,951,2415
GUJARAT,12,2011,Middle,774,484,1258
GUJARAT,12,2011,Matriculate/Secondary,681,340,1021
GUJARAT,12,2011,Hr. Secondary/Intermediate/Pre-University,251,98,349
GUJARAT,12,2011,Diploma,25,13,38
GUJARAT,12,2011,Graduate,73,39,112
GUJARAT,12,2011,Post Graduate and Above,8,7,15
GUJARAT,12,2012,No Education,660,495,1155
GUJARAT,12,2012,Primary,1549,1024,2573
GUJARAT,12,2012,Middle,765,545,1310
GUJARAT,12,2012,Matriculate/Secondary,890,455,1345
GUJARAT,12,2012,Hr. Secondary/Intermediate/Pre-University,318,164,482
GUJARAT,12,2012,Diploma,30,5,35
GUJARAT,12,2012,Graduate,131,49,180
GUJARAT,12,2012,Post Graduate and Above,19,11,30
GUJARAT,12,2013,No Education,614,434,1048
GUJARAT,12,2013,Primary,1631,1064,2695
GUJARAT,12,2013,Middle,889,449,1338
GUJARAT,12,2013,Matriculate/Secondary,874,448,1322
GUJARAT,12,2013,Hr. Secondary/Intermediate/Pre-University,316,169,485
GUJARAT,12,2013,Diploma,52,13,65
GUJARAT,12,2013,Graduate,141,53,194
GUJARAT,12,2013,Post Graduate and Above,15,4,19
GUJARAT,12,2014,No Education,514,419,933
GUJARAT,12,2014,Primary,1115,719,1834
GUJARAT,12,2014,Middle,873,504,1377
GUJARAT,12,2014,Matriculate/Secondary,921,409,1330
GUJARAT,12,2014,Hr. Secondary/Intermediate/Pre-University,492,250,742
GUJARAT,12,2014,Diploma,33,10,43
GUJARAT,12,2014,Graduate,117,33,150
GUJARAT,12,2014,Post Graduate and Above,6,1,7
HARYANA,13,2001,No Education,314,169,483
HARYANA,13,2001,Primary,208,95,303
HARYANA,13,2001,Middle,305,129,434
HARYANA,13,2001,Matriculate/Secondary,356,165,521
HARYANA,13,2001,Hr. Secondary/Intermediate/Pre-University,115,67,182
HARYANA,13,2001,Diploma,48,15,63
HARYANA,13,2001,Graduate,13,3,16
HARYANA,13,2001,Post Graduate and Above,5,0,5
HARYANA,13,2002,No Education,383,164,547
HARYANA,13,2002,Primary,272,88,360
HARYANA,13,2002,Middle,385,117,502
HARYANA,13,2002,Matriculate/Secondary,384,214,598
HARYANA,13,2002,Hr. Secondary/Intermediate/Pre-University,77,33,110
HARYANA,13,2002,Diploma,40,7,47
HARYANA,13,2002,Graduate,21,7,28
HARYANA,13,2002,Post Graduate and Above,8,0,8
HARYANA,13,2003,No Education,353,128,481
HARYANA,13,2003,Primary,245,103,348
HARYANA,13,2003,Middle,374,129,503
HARYANA,13,2003,Matriculate/Secondary,425,168,593
HARYANA,13,2003,Hr. Secondary/Intermediate/Pre-University,125,59,184
HARYANA,13,2003,Diploma,57,15,72
HARYANA,13,2003,Graduate,31,8,39
HARYANA,13,2003,Post Graduate and Above,3,4,7
HARYANA,13,2004,No Education,350,150,500
HARYANA,13,2004,Primary,231,90,321
HARYANA,13,2004,Middle,325,97,422
HARYANA,13,2004,Matriculate/Secondary,378,219,597
HARYANA,13,2004,Hr. Secondary/Intermediate/Pre-University,104,42,146
HARYANA,13,2004,Diploma,29,17,46
HARYANA,13,2004,Graduate,29,11,40
HARYANA,13,2004,Post Graduate and Above,8,2,10
HARYANA,13,2005,No Education,255,130,385
HARYANA,13,2005,Primary,245,103,348
HARYANA,13,2005,Middle,314,113,427
HARYANA,13,2005,Matriculate/Secondary,450,182,632
HARYANA,13,2005,Hr. Secondary/Intermediate/Pre-University,157,21,178
HARYANA,13,2005,Diploma,39,2,41
HARYANA,13,2005,Graduate,32,2,34
HARYANA,13,2005,Post Graduate and Above,1,0,1
HARYANA,13,2006,No Education,284,139,423
HARYANA,13,2006,Primary,268,148,416
HARYANA,13,2006,Middle,471,152,623
HARYANA,13,2006,Matriculate/Secondary,463,76,539
HARYANA,13,2006,Hr. Secondary/Intermediate/Pre-University,196,23,219
HARYANA,13,2006,Diploma,29,6,35
HARYANA,13,2006,Graduate,24,6,30
HARYANA,13,2006,Post Graduate and Above,31,0,31
HARYANA,13,2007,No Education,315,140,455
HARYANA,13,2007,Primary,256,124,380
HARYANA,13,2007,Middle,367,120,487
HARYANA,13,2007,Matriculate/Secondary,606,151,757
HARYANA,13,2007,Hr. Secondary/Intermediate/Pre-University,208,34,242
HARYANA,13,2007,Diploma,46,6,52
HARYANA,13,2007,Graduate,44,4,48
HARYANA,13,2007,Post Graduate and Above,10,2,12
HARYANA,13,2008,No Education,364,148,512
HARYANA,13,2008,Primary,361,148,509
HARYANA,13,2008,Middle,361,153,514
HARYANA,13,2008,Matriculate/Secondary,563,161,724
HARYANA,13,2008,Hr. Secondary/Intermediate/Pre-University,214,52,266
HARYANA,13,2008,Diploma,49,11,60
HARYANA,13,2008,Graduate,41,8,49
HARYANA,13,2008,Post Graduate and Above,21,1,22
HARYANA,13,2009,No Education,452,142,594
HARYANA,13,2009,Primary,416,184,600
HARYANA,13,2009,Middle,345,123,468
HARYANA,13,2009,Matriculate/Secondary,348,151,499
HARYANA,13,2009,Hr. Secondary/Intermediate/Pre-University,151,53,204
HARYANA,13,2009,Diploma,35,12,47
HARYANA,13,2009,Graduate,47,15,62
HARYANA,13,2009,Post Graduate and Above,21,8,29
HARYANA,13,2010,No Education,297,143,440
HARYANA,13,2010,Primary,384,134,518
HARYANA,13,2010,Middle,409,141,550
HARYANA,13,2010,Matriculate/Secondary,415,137,552
HARYANA,13,2010,Hr. Secondary/Intermediate/Pre-University,240,81,321
HARYANA,13,2010,Diploma,48,8,56
HARYANA,13,2010,Graduate,61,21,82
HARYANA,13,2010,Post Graduate and Above,324,52,376
HARYANA,13,2011,No Education,575,155,730
HARYANA,13,2011,Primary,487,140,627
HARYANA,13,2011,Middle,392,148,540
HARYANA,13,2011,Matriculate/Secondary,660,194,854
HARYANA,13,2011,Hr. Secondary/Intermediate/Pre-University,248,109,357
HARYANA,13,2011,Diploma,43,12,55
HARYANA,13,2011,Graduate,54,23,77
HARYANA,13,2011,Post Graduate and Above,5,0,5
HARYANA,13,2012,No Education,351,120,471
HARYANA,13,2012,Primary,301,157,458
HARYANA,13,2012,Middle,378,173,551
HARYANA,13,2012,Matriculate/Secondary,570,204,774
HARYANA,13,2012,Hr. Secondary/Intermediate/Pre-University,270,68,338
HARYANA,13,2012,Diploma,92,20,112
HARYANA,13,2012,Graduate,74,13,87
HARYANA,13,2012,Post Graduate and Above,35,1,36
HARYANA,13,2013,No Education,437,153,590
HARYANA,13,2013,Primary,421,180,601
HARYANA,13,2013,Middle,559,175,734
HARYANA,13,2013,Matriculate/Secondary,660,186,846
HARYANA,13,2013,Hr. Secondary/Intermediate/Pre-University,259,85,344
HARYANA,13,2013,Diploma,79,17,96
HARYANA,13,2013,Graduate,67,15,82
HARYANA,13,2013,Post Graduate and Above,20,3,23
HARYANA,13,2014,No Education,342,98,440
HARYANA,13,2014,Primary,301,72,373
HARYANA,13,2014,Middle,424,104,528
HARYANA,13,2014,Matriculate/Secondary,572,170,742
HARYANA,13,2014,Hr. Secondary/Intermediate/Pre-University,324,79,403
HARYANA,13,2014,Diploma,49,13,62
HARYANA,13,2014,Graduate,33,9,42
HARYANA,13,2014,Post Graduate and Above,7,1,8
HIMACHAL PRADESH,14,2001,No Education,27,25,52
HIMACHAL PRADESH,14,2001,Primary,39,34,73
HIMACHAL PRADESH,14,2001,Middle,38,22,60
HIMACHAL PRADESH,14,2001,Matriculate/Secondary,60,40,100
HIMACHAL PRADESH,14,2001,Hr. Secondary/Intermediate/Pre-University,6,5,11
HIMACHAL PRADESH,14,2001,Diploma,1,0,1
HIMACHAL PRADESH,14,2001,Graduate,3,4,7
HIMACHAL PRADESH,14,2001,Post Graduate and Above,3,0,3
HIMACHAL PRADESH,14,2002,No Education,26,20,46
HIMACHAL PRADESH,14,2002,Primary,33,28,61
HIMACHAL PRADESH,14,2002,Middle,31,34,65
HIMACHAL PRADESH,14,2002,Matriculate/Secondary,89,33,122
HIMACHAL PRADESH,14,2002,Hr. Secondary/Intermediate/Pre-University,25,8,33
HIMACHAL PRADESH,14,2002,Diploma,1,0,1
HIMACHAL PRADESH,14,2002,Graduate,2,2,4
HIMACHAL PRADESH,14,2002,Post Graduate and Above,1,1,2
HIMACHAL PRADESH,14,2003,No Education,35,16,51
HIMACHAL PRADESH,14,2003,Primary,40,28,68
HIMACHAL PRADESH,14,2003,Middle,50,34,84
HIMACHAL PRADESH,14,2003,Matriculate/Secondary,68,39,107
HIMACHAL PRADESH,14,2003,Hr. Secondary/Intermediate/Pre-University,35,24,59
HIMACHAL PRADESH,14,2003,Diploma,4,1,5
HIMACHAL PRADESH,14,2003,Graduate,8,3,11
HIMACHAL PRADESH,14,2003,Post Graduate and Above,0,1,1
HIMACHAL PRADESH,14,2004,No Education,16,16,32
HIMACHAL PRADESH,14,2004,Primary,43,29,72
HIMACHAL PRADESH,14,2004,Middle,64,43,107
HIMACHAL PRADESH,14,2004,Matriculate/Secondary,85,37,122
HIMACHAL PRADESH,14,2004,Hr. Secondary/Intermediate/Pre-University,16,7,23
HIMACHAL PRADESH,14,2004,Diploma,4,0,4
HIMACHAL PRADESH,14,2004,Graduate,5,2,7
HIMACHAL PRADESH,14,2004,Post Graduate and Above,3,1,4
HIMACHAL PRADESH,14,2005,No Education,14,16,30
HIMACHAL PRADESH,14,2005,Primary,15,20,35
HIMACHAL PRADESH,14,2005,Middle,57,37,94
HIMACHAL PRADESH,14,2005,Matriculate/Secondary,88,43,131
HIMACHAL PRADESH,14,2005,Hr. Secondary/Intermediate/Pre-University,26,23,49
HIMACHAL PRADESH,14,2005,Diploma,3,0,3
HIMACHAL PRADESH,14,2005,Graduate,9,5,14
HIMACHAL PRADESH,14,2005,Post Graduate and Above,2,1,3
HIMACHAL PRADESH,14,2006,No Education,23,20,43
HIMACHAL PRADESH,14,2006,Primary,31,34,65
HIMACHAL PRADESH,14,2006,Middle,64,35,99
HIMACHAL PRADESH,14,2006,Matriculate/Secondary,121,48,169
HIMACHAL PRADESH,14,2006,Hr. Secondary/Intermediate/Pre-University,43,11,54
HIMACHAL PRADESH,14,2006,Diploma,3,2,5
HIMACHAL PRADESH,14,2006,Graduate,11,4,15
HIMACHAL PRADESH,14,2006,Post Graduate and Above,5,2,7
HIMACHAL PRADESH,14,2007,No Education,14,10,24
HIMACHAL PRADESH,14,2007,Primary,32,27,59
HIMACHAL PRADESH,14,2007,Middle,62,32,94
HIMACHAL PRADESH,14,2007,Matriculate/Secondary,116,54,170
HIMACHAL PRADESH,14,2007,Hr. Secondary/Intermediate/Pre-University,22,14,36
HIMACHAL PRADESH,14,2007,Diploma,5,3,8
HIMACHAL PRADESH,14,2007,Graduate,6,4,10
HIMACHAL PRADESH,14,2007,Post Graduate and Above,1,0,1
HIMACHAL PRADESH,14,2008,No Education,29,12,41
HIMACHAL PRADESH,14,2008,Primary,59,32,91
HIMACHAL PRADESH,14,2008,Middle,96,49,145
HIMACHAL PRADESH,14,2008,Matriculate/Secondary,184,76,260
HIMACHAL PRADESH,14,2008,Hr. Secondary/Intermediate/Pre-University,36,39,75
HIMACHAL PRADESH,14,2008,Diploma,1,0,1
HIMACHAL PRADESH,14,2008,Graduate,11,5,16
HIMACHAL PRADESH,14,2008,Post Graduate and Above,1,0,1
HIMACHAL PRADESH,14,2009,No Education,28,22,50
HIMACHAL PRADESH,14,2009,Primary,34,29,63
HIMACHAL PRADESH,14,2009,Middle,71,29,100
HIMACHAL PRADESH,14,2009,Matriculate/Secondary,138,79,217
HIMACHAL PRADESH,14,2009,Hr. Secondary/Intermediate/Pre-University,65,28,93
HIMACHAL PRADESH,14,2009,Diploma,7,1,8
HIMACHAL PRADESH,14,2009,Graduate,23,6,29
HIMACHAL PRADESH,14,2009,Post Graduate and Above,0,0,0
HIMACHAL PRADESH,14,2010,No Education,39,27,66
HIMACHAL PRADESH,14,2010,Primary,45,29,74
HIMACHAL PRADESH,14,2010,Middle,59,36,95
HIMACHAL PRADESH,14,2010,Matriculate/Secondary,126,60,186
HIMACHAL PRADESH,14,2010,Hr. Secondary/Intermediate/Pre-University,51,30,81
HIMACHAL PRADESH,14,2010,Diploma,15,6,21
HIMACHAL PRADESH,14,2010,Graduate,9,6,15
HIMACHAL PRADESH,14,2010,Post Graduate and Above,4,0,4
HIMACHAL PRADESH,14,2011,No Education,37,12,49
HIMACHAL PRADESH,14,2011,Primary,26,25,51
HIMACHAL PRADESH,14,2011,Middle,43,36,79
HIMACHAL PRADESH,14,2011,Matriculate/Secondary,95,62,157
HIMACHAL PRADESH,14,2011,Hr. Secondary/Intermediate/Pre-University,35,30,65
HIMACHAL PRADESH,14,2011,Diploma,7,1,8
HIMACHAL PRADESH,14,2011,Graduate,23,7,30
HIMACHAL PRADESH,14,2011,Post Graduate and Above,3,1,4
HIMACHAL PRADESH,14,2012,No Education,48,21,69
HIMACHAL PRADESH,14,2012,Primary,46,27,73
